Date,Time,Employee
13/09/2017,15:52,0000792046
13/09/2017,16:10,0000792046
13/09/2017,17:29,0000792046
14/09/2017,07:07,0000792046
14/09/2017,11:10,0000792046
14/09/2017,12:40,0000792046
14/09/2017,15:52,0000792046
14/09/2017,16:11,0000792046
14/09/2017,18:31,0000792046
15/09/2017,07:03,0000792046
15/09/2017,11:18,0000792046
15/09/2017,12:44,0000792046
15/09/2017,15:53,0000792046
15/09/2017,16:10,0000792046
15/09/2017,17:23,0000792046
16/09/2017,09:52,0000792046
16/09/2017,14:40,0000792046
20/09/2017,06:58,0000792046
20/09/2017,11:08,0000792046
20/09/2017,12:48,0000792046
20/09/2017,15:52,0000792046
20/09/2017,16:06,0000792046
20/09/2017,17:29,0000792046
21/09/2017,06:56,0000792046
21/09/2017,11:06,0000792046
22/09/2017,07:01,0000792046
22/09/2017,11:14,0000792046
22/09/2017,12:45,0000792046
22/09/2017,15:50,0000792046
22/09/2017,16:04,0000792046
22/09/2017,17:27,0000792046
25/09/2017,07:00,0000792046
25/09/2017,11:05,0000792046
25/09/2017,12:41,0000792046
25/09/2017,15:52,0000792046
25/09/2017,16:10,0000792046
25/09/2017,17:30,0000792046
26/09/2017,07:03,0000792046
26/09/2017,11:09,0000792046
26/09/2017,12:40,0000792046
26/09/2017,15:52,0000792046
26/09/2017,16:15,0000792046
26/09/2017,17:39,0000792046
01/09/2017,07:08,0000792047
01/09/2017,11:04,0000792047
01/09/2017,12:38,0000792047
01/09/2017,15:32,0000792047
01/09/2017,15:52,0000792047
01/09/2017,17:19,0000792047
04/09/2017,07:08,0000792047
04/09/2017,11:01,0000792047
04/09/2017,12:41,0000792047
04/09/2017,15:59,0000792047
04/09/2017,16:21,0000792047
04/09/2017,17:20,0000792047
05/09/2017,07:05,0000792047
05/09/2017,09:08,0000792047
05/09/2017,11:01,0000792047
05/09/2017,12:40,0000792047
05/09/2017,15:32,0000792047
05/09/2017,15:55,0000792047
06/09/2017,07:14,0000792047
06/09/2017,11:03,0000792047
06/09/2017,12:41,0000792047
06/09/2017,15:38,0000792047
06/09/2017,16:00,0000792047
06/09/2017,17:21,0000792047
08/09/2017,07:11,0000792047
08/09/2017,11:00,0000792047
08/09/2017,12:36,0000792047
08/09/2017,15:43,0000792047
08/09/2017,17:21,0000792047
11/09/2017,07:06,0000792047
11/09/2017,10:34,0000792047
11/09/2017,12:38,0000792047
11/09/2017,15:31,0000792047
11/09/2017,15:52,0000792047
11/09/2017,17:21,0000792047
12/09/2017,07:08,0000792047
12/09/2017,11:01,0000792047
12/09/2017,12:39,0000792047
12/09/2017,15:31,0000792047
12/09/2017,15:50,0000792047
12/09/2017,17:23,0000792047
13/09/2017,07:08,0000792047
13/09/2017,11:03,0000792047
13/09/2017,12:41,0000792047
13/09/2017,15:31,0000792047
13/09/2017,15:50,0000792047
13/09/2017,17:21,0000792047
14/09/2017,07:09,0000792047
14/09/2017,11:02,0000792047
14/09/2017,12:34,0000792047
14/09/2017,15:33,0000792047
14/09/2017,15:54,0000792047
14/09/2017,16:29,0000792047
15/09/2017,07:09,0000792047
15/09/2017,11:02,0000792047
15/09/2017,12:38,0000792047
15/09/2017,15:31,0000792047
15/09/2017,15:52,0000792047
15/09/2017,17:20,0000792047
18/09/2017,07:07,0000792047
18/09/2017,11:01,0000792047
18/09/2017,12:38,0000792047
18/09/2017,15:31,0000792047
18/09/2017,15:51,0000792047
18/09/2017,17:21,0000792047
19/09/2017,07:02,0000792047
19/09/2017,11:01,0000792047
19/09/2017,12:38,0000792047
19/09/2017,15:31,0000792047
19/09/2017,15:51,0000792047
19/09/2017,18:55,0000792047
20/09/2017,07:06,0000792047
20/09/2017,11:02,0000792047
20/09/2017,12:38,0000792047
20/09/2017,15:32,0000792047
20/09/2017,15:52,0000792047
20/09/2017,17:22,0000792047
21/09/2017,07:06,0000792047
21/09/2017,11:01,0000792047
21/09/2017,12:37,0000792047
21/09/2017,15:31,0000792047
21/09/2017,15:50,0000792047
21/09/2017,17:20,0000792047
22/09/2017,07:03,0000792047
22/09/2017,11:01,0000792047
22/09/2017,12:50,0000792047
22/09/2017,15:31,0000792047
22/09/2017,15:56,0000792047
22/09/2017,17:27,0000792047
25/09/2017,07:03,0000792047
25/09/2017,11:02,0000792047
25/09/2017,12:40,0000792047
25/09/2017,15:32,0000792047
25/09/2017,15:49,0000792047
25/09/2017,17:22,0000792047
26/09/2017,07:06,0000792047
26/09/2017,11:02,0000792047
26/09/2017,12:38,0000792047
26/09/2017,15:31,0000792047
26/09/2017,15:56,0000792047
26/09/2017,17:20,0000792047
01/09/2017,07:05,0000792050
01/09/2017,11:03,0000792050
01/09/2017,12:30,0000792050
01/09/2017,15:32,0000792050
01/09/2017,15:46,0000792050
01/09/2017,17:20,0000792050
04/09/2017,07:03,0000792050
04/09/2017,11:01,0000792050
04/09/2017,12:32,0000792050
04/09/2017,15:32,0000792050
04/09/2017,15:47,0000792050
04/09/2017,17:20,0000792050
05/09/2017,07:08,0000792050
05/09/2017,11:04,0000792050
05/09/2017,12:32,0000792050
05/09/2017,15:33,0000792050
05/09/2017,15:47,0000792050
05/09/2017,17:20,0000792050
06/09/2017,07:04,0000792050
06/09/2017,11:04,0000792050
06/09/2017,12:31,0000792050
06/09/2017,15:39,0000792050
06/09/2017,15:54,0000792050
06/09/2017,17:22,0000792050
08/09/2017,07:06,0000792050
08/09/2017,11:01,0000792050
08/09/2017,12:45,0000792050
08/09/2017,15:43,0000792050
08/09/2017,17:22,0000792050
11/09/2017,07:06,0000792050
11/09/2017,11:03,0000792050
11/09/2017,12:31,0000792050
11/09/2017,15:32,0000792050
11/09/2017,15:46,0000792050
11/09/2017,17:21,0000792050
12/09/2017,07:04,0000792050
12/09/2017,11:04,0000792050
12/09/2017,12:32,0000792050
12/09/2017,15:31,0000792050
12/09/2017,15:46,0000792050
12/09/2017,17:22,0000792050
13/09/2017,07:01,0000792050
13/09/2017,11:04,0000792050
13/09/2017,12:31,0000792050
13/09/2017,15:32,0000792050
13/09/2017,15:46,0000792050
13/09/2017,17:22,0000792050
14/09/2017,07:03,0000792050
14/09/2017,11:03,0000792050
14/09/2017,12:32,0000792050
14/09/2017,15:33,0000792050
14/09/2017,15:46,0000792050
14/09/2017,17:21,0000792050
15/09/2017,07:01,0000792050
15/09/2017,11:04,0000792050
15/09/2017,12:30,0000792050
15/09/2017,15:32,0000792050
15/09/2017,15:46,0000792050
15/09/2017,17:20,0000792050
18/09/2017,07:06,0000792050
18/09/2017,11:03,0000792050
18/09/2017,12:31,0000792050
18/09/2017,15:32,0000792050
18/09/2017,15:46,0000792050
18/09/2017,17:21,0000792050
19/09/2017,07:03,0000792050
19/09/2017,11:03,0000792050
19/09/2017,12:33,0000792050
19/09/2017,15:32,0000792050
19/09/2017,15:48,0000792050
19/09/2017,17:20,0000792050
20/09/2017,07:04,0000792050
20/09/2017,11:04,0000792050
20/09/2017,12:30,0000792050
20/09/2017,15:32,0000792050
20/09/2017,15:46,0000792050
20/09/2017,17:21,0000792050
21/09/2017,07:07,0000792050
21/09/2017,11:03,0000792050
21/09/2017,12:28,0000792050
21/09/2017,15:32,0000792050
21/09/2017,15:45,0000792050
21/09/2017,17:22,0000792050
22/09/2017,07:07,0000792050
22/09/2017,11:03,0000792050
22/09/2017,12:31,0000792050
22/09/2017,15:32,0000792050
22/09/2017,15:46,0000792050
22/09/2017,17:19,0000792050
25/09/2017,06:58,0000792050
25/09/2017,11:03,0000792050
25/09/2017,12:28,0000792050
25/09/2017,15:32,0000792050
25/09/2017,15:46,0000792050
25/09/2017,17:22,0000792050
26/09/2017,07:07,0000792050
26/09/2017,11:04,0000792050
26/09/2017,12:27,0000792050
26/09/2017,15:32,0000792050
26/09/2017,15:46,0000792050
26/09/2017,17:19,0000792050
01/09/2017,07:06,0000792051
01/09/2017,12:04,0000792051
01/09/2017,13:31,0000792051
01/09/2017,15:32,0000792051
01/09/2017,15:48,0000792051
01/09/2017,17:23,0000792051
04/09/2017,07:06,0000792051
04/09/2017,11:02,0000792051
04/09/2017,12:35,0000792051
04/09/2017,15:32,0000792051
04/09/2017,15:48,0000792051
04/09/2017,17:25,0000792051
05/09/2017,07:06,0000792051
05/09/2017,11:03,0000792051
05/09/2017,12:35,0000792051
05/09/2017,15:33,0000792051
05/09/2017,15:48,0000792051
05/09/2017,17:20,0000792051
06/09/2017,07:07,0000792051
06/09/2017,11:03,0000792051
06/09/2017,12:35,0000792051
06/09/2017,15:38,0000792051
06/09/2017,15:55,0000792051
06/09/2017,17:21,0000792051
08/09/2017,07:02,0000792051
08/09/2017,11:01,0000792051
08/09/2017,12:34,0000792051
08/09/2017,15:43,0000792051
08/09/2017,17:22,0000792051
11/09/2017,07:01,0000792051
11/09/2017,11:01,0000792051
11/09/2017,12:34,0000792051
11/09/2017,15:31,0000792051
11/09/2017,15:47,0000792051
11/09/2017,17:21,0000792051
12/09/2017,07:03,0000792051
12/09/2017,11:06,0000792051
12/09/2017,12:34,0000792051
12/09/2017,15:31,0000792051
12/09/2017,15:47,0000792051
12/09/2017,17:22,0000792051
13/09/2017,07:01,0000792051
13/09/2017,11:02,0000792051
13/09/2017,12:34,0000792051
13/09/2017,15:32,0000792051
13/09/2017,15:47,0000792051
13/09/2017,17:22,0000792051
14/09/2017,07:09,0000792051
14/09/2017,11:06,0000792051
14/09/2017,12:35,0000792051
14/09/2017,15:31,0000792051
14/09/2017,15:48,0000792051
14/09/2017,17:21,0000792051
15/09/2017,07:05,0000792051
15/09/2017,11:02,0000792051
15/09/2017,12:33,0000792051
15/09/2017,15:32,0000792051
15/09/2017,15:47,0000792051
15/09/2017,17:22,0000792051
18/09/2017,07:08,0000792051
18/09/2017,11:01,0000792051
18/09/2017,12:37,0000792051
18/09/2017,15:31,0000792051
18/09/2017,15:47,0000792051
18/09/2017,17:22,0000792051
19/09/2017,07:08,0000792051
19/09/2017,11:02,0000792051
19/09/2017,12:34,0000792051
19/09/2017,15:32,0000792051
19/09/2017,15:48,0000792051
19/09/2017,19:23,0000792051
20/09/2017,07:07,0000792051
20/09/2017,11:03,0000792051
20/09/2017,12:37,0000792051
20/09/2017,15:32,0000792051
20/09/2017,15:48,0000792051
20/09/2017,17:20,0000792051
21/09/2017,07:06,0000792051
21/09/2017,11:02,0000792051
21/09/2017,12:35,0000792051
21/09/2017,15:31,0000792051
21/09/2017,15:48,0000792051
21/09/2017,17:21,0000792051
22/09/2017,07:06,0000792051
22/09/2017,11:01,0000792051
22/09/2017,12:34,0000792051
22/09/2017,15:31,0000792051
25/09/2017,07:07,0000792051
